step,action,reward,score_left,score_right,ball_x,ball_y,right_paddle_y,left_paddle_y,ball_x_std,ball_y_std,right_paddle_y_std,left_paddle_y_std,ball_x_minmax,ball_y_minmax,right_paddle_y_minmax,left_paddle_y_minmax
190,2,0.0,0,0,37,80,95,84,-0.8792226,-0.52247715,-0.35224175,-0.5669532,0.26027396,0.41752577,0.3691275,0.44041452
191,0,0.0,0,0,49,76,105,82,-0.5830038,-0.59566826,-0.08378562,-0.6054364,0.34246576,0.3969072,0.4362416,0.4300518
192,0,0.0,0,0,61,72,107,76,-0.28678507,-0.6688593,-0.0300944,-0.720886,0.42465752,0.37628865,0.44966444,0.39896372
193,0,0.0,0,0,73,68,107,74,0.009433679,-0.7420504,-0.0300944,-0.7593692,0.5068493,0.3556701,0.44966444,0.38860103
194,1,0.0,0,0,85,64,97,68,0.30565244,-0.8152415,-0.29855052,-0.8748188,0.5890411,0.33505154,0.38255033,0.35751295
195,1,0.0,0,0,97,60,77,66,0.6018712,-0.8884326,-0.8354628,-0.913302,0.6712329,0.31443298,0.24832214,0.34715027
196,0,0.0,0,0,109,56,65,60,0.89808995,-0.9616237,-1.1576102,-1.0287516,0.75342464,0.29381442,0.16778524,0.31606218
197,0,0.0,0,0,121,52,63,58,1.1943088,-1.0348148,-1.2113013,-1.0672349,0.8356164,0.27319586,0.15436241,0.30569947
198,0,0.0,0,0,133,48,61,52,1.4905275,-1.1080059,-1.2649926,-1.1826844,0.91780823,0.2525773,0.1409396,0.2746114
199,0,0.0,0,0,145,43,61,50,1.7867463,-1.1994947,-1.2649926,-1.2211677,1.0,0.22680412,0.1409396,0.2642487
200,0,0.0,0,0,-1,-1,61,44,-1.8172487,-2.0045967,-1.2649926,-1.3366172,0.0,0.0,0.1409396,0.23316061
201,1,-1.0,1,0,-1,-1,53,42,-1.8172487,-2.0045967,-1.4797575,-1.3751005,0.0,0.0,0.087248325,0.22279793
202,0,0.0,1,0,-1,-1,43,38,-1.8172487,-2.0045967,-1.7482136,-1.4520669,0.0,0.0,0.020134227,0.20207255
203,0,0.0,1,0,-1,-1,40,35,-1.8172487,-2.0045967,-1.8287505,-1.5097917,0.0,0.0,0.0,0.1865285
204,0,0.0,1,0,-1,-1,40,-1,-1.8172487,-2.0045967,-1.8287505,-2.2024894,0.0,0.0,0.0,0.0
205,0,0.0,1,0,-1,-1,40,-1,-1.8172487,-2.0045967,-1.8287505,-2.2024894,0.0,0.0,0.0,0.0
